ISIC4_국제표준산업분류,ISIC4_분류명,KSIC10_한국표준산업분류,KSIC10_분류명,HS2017_관세통계통합품목분류,HS2017_분류명
0113,"야채와 멜론, 구근, 덩이줄기 재배업",01121,채소작물 재배업,070930,가지(에그플랜트)
0113,"야채와 멜론, 구근, 덩이줄기 재배업",01121,채소작물 재배업,070200,토마토(신선한 것이나 냉장한 것으로 한정한다)
0113,"야채와 멜론, 구근, 덩이줄기 재배업",01121,채소작물 재배업,070993,호박류[쿠쿠르비타(Cucurbita)종]
0113,"야채와 멜론, 구근, 덩이줄기 재배업",01121,채소작물 재배업,070999,기타
0111,"곡물(쌀 제외), 콩류, 종실유 재배업",01121,채소작물 재배업,070820,콩[비그나(Vigna)종ㆍ파세러스(Phaseolus)종)]
0111,"곡물(쌀 제외), 콩류, 종실유 재배업",01121,채소작물 재배업,070810,완두[피섬 새티범(Pisum sativum)]
0111,"곡물(쌀 제외), 콩류, 종실유 재배업",01151,콩나물 재배업,070890,그 밖의 채두류(菜豆類)
0111,"곡물(쌀 제외), 콩류, 종실유 재배업",01121,채소작물 재배업,070890,그 밖의 채두류(菜豆類)
0113,"야채와 멜론, 구근, 덩이줄기 재배업",01121,채소작물 재배업,070610,당근과 순무
0113,"야채와 멜론, 구근, 덩이줄기 재배업",01121,채소작물 재배업,070320,마늘
0113,"야채와 멜론, 구근, 덩이줄기 재배업",01121,채소작물 재배업,070310,양파와 쪽파
0113,"야채와 멜론, 구근, 덩이줄기 재배업",01121,채소작물 재배업,070390,리크(leek)와 그 밖의 파속의 채소
0113,"야채와 멜론, 구근, 덩이줄기 재배업",01121,채소작물 재배업,070690,기타
0113,"야채와 멜론, 구근, 덩이줄기 재배업",01123,종자 및 묘목 생산업,120991,채소 종자
0113,"야채와 멜론, 구근, 덩이줄기 재배업",01159,기타 시설작물 재배업,070951,아가리쿠스(Agaricus)속의 버섯
0230,임산물 채취업,,,070959,기타
0113,"야채와 멜론, 구근, 덩이줄기 재배업",01121,채소작물 재배업,070940,셀러리(celery)[셀러리액(celeriac)은 제외한다]
,,01152,"채소, 화훼 및 과실작물 시설 재배업",070999,기타
0122,열대 및 아열대 과일 재배업,01131,과실작물 재배업,080440,아보카도(avocado)
0122,열대 및 아열대 과일 재배업,01131,과실작물 재배업,080390,기타
0122,열대 및 아열대 과일 재배업,01131,과실작물 재배업,080410,대추야자
0122,열대 및 아열대 과일 재배업,01131,과실작물 재배업,080420,무화과
0122,열대 및 아열대 과일 재배업,01131,과실작물 재배업,080450,구아바(guava)ㆍ망고(mango)ㆍ망고스틴(mangosteen)
0122,열대 및 아열대 과일 재배업,01131,과실작물 재배업,080720,포포(papaw)[파파야(papaya)]
0122,열대 및 아열대 과일 재배업,01131,과실작물 재배업,080430,파인애플
0122,열대 및 아열대 과일 재배업,01131,과실작물 재배업,081060,두리안(durian)
,,01152,"채소, 화훼 및 과실작물 시설 재배업",081090,기타
0123,감귤류 과일 재배,01131,과실작물 재배업,080540,그레이프프루트(grapefruit)[포멜로(pomelos)를 포함한다]
0123,감귤류 과일 재배,01131,과실작물 재배업,080550,"레몬[시트러스 리몬(Citrus limon)ㆍ시트러스 리머늄(Citrus limonum)], 라임(lime)[시트러스 오란티폴리아(Citrus aurantifolia)ㆍ시트러스 라티폴리아(Citrus latifolia)]"
0123,감귤류 과일 재배,01131,과실작물 재배업,080510,오렌지
0123,감귤류 과일 재배,01131,과실작물 재배업,080590,기타
0123,감귤류 과일 재배,01131,과실작물 재배업,080521,만다린(mandarins)[탄제린(tangerines)ㆍ세트수머(satsumas)를 포함한다]
0123,감귤류 과일 재배,01152,"채소, 화훼 및 과실작물 시설 재배업",080522,클레멘타인(clementine)
,,,,080529,기타
,,,,080590,기타
0121,포도 재배업,01131,과실작물 재배업,080610,신선한 것
0124,이과 및 핵과 재배업,01131,과실작물 재배업,080810,사과
0124,이과 및 핵과 재배업,01131,과실작물 재배업,080830,배
,,01152,"채소, 화훼 및 과실작물 시설 재배업",080840,마르멜로(quince)
0124,이과 및 핵과 재배업,01131,과실작물 재배업,080910,살구
0124,이과 및 핵과 재배업,01131,과실작물 재배업,080921,신 체리[프루너스 체라서스(Prunus cerasus)]
,,01152,"채소, 화훼 및 과실작물 시설 재배업",080929,기타
0124,이과 및 핵과 재배업,01131,과실작물 재배업,080930,복숭아[넥터린(nectarine)을 포함한다]
0124,이과 및 핵과 재배업,01131,과실작물 재배업,080940,자두와 슬로(sloe)
0124,이과 및 핵과 재배업,01131,과실작물 재배업,081090,기타
0125,기타 과실수 및 견과류 재배업,01131,과실작물 재배업,081030,흑색ㆍ백색ㆍ적색의 커런트(currant)와 구즈베리(gooseberry)
0125,기타 과실수 및 견과류 재배업,01131,과실작물 재배업,081050,키위프루트(kiwifruit)
0125,기타 과실수 및 견과류 재배업,01131,과실작물 재배업,081020,나무딸기ㆍ검은나무딸기ㆍ오디ㆍ로간베리(loganberry)
0125,기타 과실수 및 견과류 재배업,01131,과실작물 재배업,081010,초본류 딸기
0125,기타 과실수 및 견과류 재배업,01131,과실작물 재배업,081040,크랜베리(cranberry)ㆍ빌베리(bilberry)와 그 밖의 박시니엄(Vaccinium)속의 과실
0230,임산물 채취업,01152,"채소, 화훼 및 과실작물 시설 재배업",081090,기타
0125,기타 과실수 및 견과류 재배업,01131,과실작물 재배업,121292,로커스트콩(locust bean)(캐롭)
0125,기타 과실수 및 견과류 재배업,01123,종자 및 묘목 생산업,120999,기타
0125,기타 과실수 및 견과류 재배업,01131,과실작물 재배업,080211,껍데기를 벗기지 않은 것
0125,기타 과실수 및 견과류 재배업,01131,과실작물 재배업,080131,껍데기를 벗기지 않은 것
0125,기타 과실수 및 견과류 재배업,01131,과실작물 재배업,080241,껍데기를 벗기지 않은 것
0125,기타 과실수 및 견과류 재배업,01131,과실작물 재배업,080221,껍데기를 벗기지 않은 것
0125,기타 과실수 및 견과류 재배업,01131,과실작물 재배업,080251,껍데기를 벗기지 않은 것
0125,기타 과실수 및 견과류 재배업,01131,과실작물 재배업,080231,껍데기를 벗기지 않은 것
0125,기타 과실수 및 견과류 재배업,01131,과실작물 재배업,080261,껍데기를 벗기지 않은 것
,,01131,과실작물 재배업,080270,콜라 너트(kola nut)[콜라(Cola)종]
,,01152,"채소, 화훼 및 과실작물 시설 재배업",080280,빈랑자(areca nut)
,,,,080290,기타
0125,기타 과실수 및 견과류 재배업,01131,과실작물 재배업,080121,껍데기를 벗기지 않은 것
,,01152,"채소, 화훼 및 과실작물 시설 재배업",080261,껍데기를 벗기지 않은 것
,,,,080270,콜라 너트(kola nut)[콜라(Cola)종]
,,,,080280,빈랑자(areca nut)
0125,기타 과실수 및 견과류 재배업,01131,과실작물 재배업,081070,감
0111,"곡물(쌀 제외), 콩류, 종실유 재배업",01123,종자 및 묘목 생산업,120110,종자
0111,"곡물(쌀 제외), 콩류, 종실유 재배업",01110,곡물 및 기타 식량작물 재배업,120190,기타
0111,"곡물(쌀 제외), 콩류, 종실유 재배업",01123,종자 및 묘목 생산업,120230,종자
0111,"곡물(쌀 제외), 콩류, 종실유 재배업",01140,기타 작물 재배업,120241,껍데기를 벗기지 않은 것
0111,"곡물(쌀 제외), 콩류, 종실유 재배업",01123,종자 및 묘목 생산업,120721,종자
0111,"곡물(쌀 제외), 콩류, 종실유 재배업",01140,기타 작물 재배업,120729,기타
0111,"곡물(쌀 제외), 콩류, 종실유 재배업",01140,기타 작물 재배업,120400,아마씨(부수었는지에 상관없다)
0111,"곡물(쌀 제외), 콩류, 종실유 재배업",01140,기타 작물 재배업,120750,겨자씨
0111,"곡물(쌀 제외), 콩류, 종실유 재배업",01140,기타 작물 재배업,120510,"저에루크산(low erucic acid) 유채(rape, colza)의 씨"
,,,,120590,기타
0111,"곡물(쌀 제외), 콩류, 종실유 재배업",01140,기타 작물 재배업,120740,참깨
0111,"곡물(쌀 제외), 콩류, 종실유 재배업",,,120600,해바라기씨(부수었는지에 상관없다)
0111,"곡물(쌀 제외), 콩류, 종실유 재배업",,,120760,잇꽃[카르타무스 틴크토리우스(Carthamus tinctorius)] 종자
0111,"곡물(쌀 제외), 콩류, 종실유 재배업",,,120799,기타
0111,"곡물(쌀 제외), 콩류, 종실유 재배업",,,120730,피마자
0111,"곡물(쌀 제외), 콩류, 종실유 재배업",,,120770,멜론 종자
0111,"곡물(쌀 제외), 콩류, 종실유 재배업",,,120791,양귀비씨
,,,,120799,기타
0126,유성 과일 재배업,01140,기타 작물 재배업,070992,올리브
0126,유성 과일 재배업,01140,기타 작물 재배업,080112,내피[내과피(內果皮)]를 벗기지 않은 것
,,,,080119,기타
0126,유성 과일 재배업,01140,기타 작물 재배업,120710,팜너트(palm nut)와 핵(核)
0126,유성 과일 재배업,01140,기타 작물 재배업,120300,코프라(copra)
0126,유성 과일 재배업,01140,기타 작물 재배업,120799,기타
0113,"야채와 멜론, 구근, 덩이줄기 재배업",01110,곡물 및 기타 식량작물 재배업,070110,종자용
,,,,070190,기타
0113,"야채와 멜론, 구근, 덩이줄기 재배업",01110,곡물 및 기타 식량작물 재배업,071410,매니옥(manioc)[카사바(cassava)]
0113,"야채와 멜론, 구근, 덩이줄기 재배업",01110,곡물 및 기타 식량작물 재배업,071420,고구마
0113,"야채와 멜론, 구근, 덩이줄기 재배업",01110,곡물 및 기타 식량작물 재배업,071430,얌[디오스코레아(Dioscorea)종]
0113,"야채와 멜론, 구근, 덩이줄기 재배업",01110,곡물 및 기타 식량작물 재배업,071440,토란[콜로카시아(Colocasia)종]
0113,"야채와 멜론, 구근, 덩이줄기 재배업",01110,곡물 및 기타 식량작물 재배업,071450,아메리카 토란[크산토소마(Xanthosoma)종]
0113,"야채와 멜론, 구근, 덩이줄기 재배업",,,071490,기타
0127,음용 작물 재배업,01121,채소작물 재배업,090111,카페인을 제거하지 않은 것
0127,음용 작물 재배업,01121,채소작물 재배업,090220,그 밖의 녹차(발효하지 않은 것으로 한정한다)
,,,,090240,그 밖의 홍차(발효차)와 그 밖의 부분 발효차
0127,음용 작물 재배업,01121,채소작물 재배업,090300,마테(maté)
0127,음용 작물 재배업,01121,채소작물 재배업,180100,코코아두(원래 모양이나 부순 것으로서 생 것이나 볶은 것으로 한정한다)
0128,"향료, 아로마, 약물, 제약 작물 재배업",01121,채소작물 재배업,090411,부수지도 잘게 부수지도 않은 것
0128,"향료, 아로마, 약물, 제약 작물 재배업",01121,채소작물 재배업,090421,건조한 것(부수지도 잘게 부수지도 않은 것)
0128,"향료, 아로마, 약물, 제약 작물 재배업",01121,채소작물 재배업,090811,부수지도 잘게 부수지도 않은 것
,,,,090821,부수지도 잘게 부수지도 않은 것
,,,,090831,부수지도 잘게 부수지도 않은 것
0128,"향료, 아로마, 약물, 제약 작물 재배업",01121,채소작물 재배업,090921,부수지도 잘게 부수지도 않은 것
,,,,090931,부수지도 잘게 부수지도 않은 것
,,,,090961,부수지도 잘게 부수지도 않은 것
0128,"향료, 아로마, 약물, 제약 작물 재배업",01121,채소작물 재배업,090611,계피[신나모멈 제이나이쿰 블룸(Cinnamomum zeylanicum Blume)]
,,,,090619,기타
0128,"향료, 아로마, 약물, 제약 작물 재배업",01121,채소작물 재배업,090710,부수지도 잘게 부수지도 않은 것
0128,"향료, 아로마, 약물, 제약 작물 재배업",01121,채소작물 재배업,091011,부수지도 잘게 부수지도 않은 것
0128,"향료, 아로마, 약물, 제약 작물 재배업",01121,채소작물 재배업,090510,부수지도 잘게 부수지도 않은 것
0128,"향료, 아로마, 약물, 제약 작물 재배업",01121,채소작물 재배업,121010,홉(hop)[잘게 부순 것ㆍ가루 모양ㆍ펠릿(pellet) 모양은 제외한다]
,,,,121020,"홉(hop)[잘게 부순 것ㆍ가루 모양ㆍ펠릿(pellet) 모양으로 한정한다], 루플린(lupulin)"
0128,"향료, 아로마, 약물, 제약 작물 재배업",01121,채소작물 재배업,121294,치커리(chicory) 뿌리
0128,"향료, 아로마, 약물, 제약 작물 재배업",01121,채소작물 재배업,091020,사프란(saffron)
,,,,091030,심황[강황(薑黃)]
,,,,091091,혼합물(제9류의 주 제1호나목의 것으로 한정한다)
,,,,091099,기타
,,,,121299,기타
0111,"곡물(쌀 제외), 콩류, 종실유 재배업",01110,곡물 및 기타 식량작물 재배업,071333,강낭콩(흰 완두콩을 포함한다)[파세러스 불가리스(Phaseolus vulgaris)]
0111,"곡물(쌀 제외), 콩류, 종실유 재배업",01110,곡물 및 기타 식량작물 재배업,071350,누에콩[비시아 파바 변종 메이저(Vicia faba var. major)]과 말먹이용 누에콩[비시아 파바 변종 에퀴나(Vicia faba var. equina)ㆍ비시아 파바 변종 마이너(Vicia faba var. minor)]
0111,"곡물(쌀 제외), 콩류, 종실유 재배업",01110,곡물 및 기타 식량작물 재배업,071320,이집트 콩[가반조스(garbanzos)]
0111,"곡물(쌀 제외), 콩류, 종실유 재배업",01110,곡물 및 기타 식량작물 재배업,071340,렌즈콩
0111,"곡물(쌀 제외), 콩류, 종실유 재배업",01110,곡물 및 기타 식량작물 재배업,071310,완두[피섬 새티범(Pisum sativum)]
0111,"곡물(쌀 제외), 콩류, 종실유 재배업",01110,곡물 및 기타 식량작물 재배업,,
0111,"곡물(쌀 제외), 콩류, 종실유 재배업",01110,곡물 및 기타 식량작물 재배업,071331,녹두[비그나 멍고(엘) 헤파(Vigna mungo (L) Hepper)종ㆍ비그나 라디에이타(엘) 윌크젝(Vigna radiata (L) Wilczek)종]
0111,"곡물(쌀 제외), 콩류, 종실유 재배업",01110,곡물 및 기타 식량작물 재배업,071335,동부콩[비그나 운구이쿨라타(Vigna unguiculata)]
0111,"곡물(쌀 제외), 콩류, 종실유 재배업",01110,곡물 및 기타 식량작물 재배업,071334,밤바라콩[비그나 서브터라니아(Vigna subterranea)ㆍ보안드제이아 서브터라니아(Voandzeia subterranea)]
,,,,071339,기타
,,,,071360,비둘기콩[카자누스 카잔(Cajanus cajan)]
,,,,071390,기타
0113,"야채와 멜론, 구근, 덩이줄기 재배업",01121,채소작물 재배업,121291,사탕무
0114,사탕수수 재배업,01140,기타 작물 재배업,121293,사탕수수
0113,"야채와 멜론, 구근, 덩이줄기 재배업",01123,종자 및 묘목 생산업,120910,사탕무 종자
0125,기타 과실수 및 견과류 재배업,01140,기타 작물 재배업,121299,기타
0129,기타 다년생 작물 재배업,,,,
,,,,,
0119,기타 비다년생 작물 재배업,01140,기타 작물 재배업,121490,기타
0111,"곡물(쌀 제외), 콩류, 종실유 재배업",01110,곡물 및 기타 식량작물 재배업,121300,"곡물의 짚과 껍질[조제하지 않은 것으로 한정하며, 절단하거나 잘게 부수거나 압착한 것인지 또는 펠릿(pellet) 모양인지에 상관없다]"
0116,섬유 작물 재배업,01140,기타 작물 재배업,520100,면[카드(card)하지도 코움(comb)하지도 않은 것으로 한정한다]
0116,섬유 작물 재배업,01140,기타 작물 재배업,530310,황마와 그 밖의 방직용 인피(靭皮)섬유[생것이나 침지(沈漬)한 것으로 한정한다]
0116,섬유 작물 재배업,01140,기타 작물 재배업,530110,생아마나 침지(沈漬)아마
,,,,530210,생대마나 침지(沈漬)대마
,,,,530500,"코코넛ㆍ아바카(마닐라마)ㆍ라미(ramie)와 그 밖의 식물성 방직용 섬유(따로 분류되지 않은 것으로 한정하며, 생것이거나 가공은 하였으나 방적하지 않은 것으로 한정한다), 이들의 토우(tow)ㆍ노일(noil)ㆍ웨이스트(waste)[실의 웨이스트(waste)와 가닛스톡(garnetted stock)을 포함한다]"
0113,"야채와 멜론, 구근, 덩이줄기 재배업",01140,기타 작물 재배업,121120,인삼
0128,"향료, 아로마, 약물, 제약 작물 재배업",01121,채소작물 재배업,121130,코카잎
,,,,121140,양귀비줄기
,,,,121150,마황(麻黃)
,,,,121190,기타
,,,,130211,아편
0119,기타 비다년생 작물 재배업,01140,기타 작물 재배업,120921,루우산(lucerne)(알팔파) 종자
,,,,120922,클로버(clover)[트리폴리엄(Trifolium)종] 종자
,,,,120923,페스큐(fescue) 종자
,,,,120924,켄터키블루그래스(kentucky blue grass)[포아프래텐시스 엘(Poa pratensis L.)] 종자
,,,,120925,라이그래스(rye grass) 종자[로리엄 멀티플로럼 램(Lolium multiflorum Lam)ㆍ로리엄 페레네 엘(Lolium perenne L.)]
,,,,120929,기타
0129,기타 다년생 작물 재배업,01140,기타 작물 재배업,400110,천연고무의 라텍스[프리-벌커나이즈된(pre-vulcanised) 것인지에 상관없다]
0230,임산물 채취업,,,400121,스모크드 시트(smoked sheet)
,,,,400122,공업 규격화된 천연고무(TSNR)
,,,,400129,기타
0130,식물 번식,01123,종자 및 묘목 생산업,060110,인경(鱗莖)ㆍ괴경(塊莖)ㆍ괴근(塊根)ㆍ구경(球莖)ㆍ관근(冠根)ㆍ근경(根莖)으로서 휴면(休眠)상태인 것
,,,,060120,"인경(鱗莖)ㆍ괴경(塊莖)ㆍ괴근(塊根)ㆍ구경(球莖)ㆍ관근(冠根)ㆍ근경(根莖)으로서 자라고 있거나 꽃이 피어 있는 것, 치커리ㆍ치커리 뿌리"
,,,,060210,뿌리가 없는 꺾꽂이용 가지와 접붙임용 가지
,,,,060220,수목과 관목(식용 과실이나 견과류의 것으로서 접목했는지에 상관없다)
,,,,060230,철쭉과 진달래속의 식물(접목했는지에 상관없다)
,,,,060240,장미(접목했는지에 상관없다)
,,,,060290,기타
0119,기타 비다년생 작물 재배업,01122,화훼작물 재배업,060311,장미
,,,,060312,카네이션
,,,,060313,난
,,,,060314,국화
,,,,060315,백합[릴리움(Lilium)종]
,,,,060319,기타
,,,,060390,기타
0119,기타 비다년생 작물 재배업,01123,종자 및 묘목 생산업,120930,화초용 초본(草本)식물의 종자
0115,담배 재배업,01140,기타 작물 재배업,240110,잎담배[주맥(主脈)을 제거하지 않은 것으로 한정한다]
0119,기타 비다년생 작물 재배업,01140,기타 작물 재배업,120999,기타
0129,기타 다년생 작물 재배업,,,121299,기타
0141,소 및 버팔로 사육업,01211,젖소 사육업,010221,번식용
,,01212,육우 사육업,010229,기타
0141,소 및 버팔로 사육업,,,010231,번식용
,,,,010239,기타
0143,낙타과 동물 사육업,01299,그 외 기타 축산업,010613,낙타와 그 밖의 낙타과의 동물[카멜리대(Camelidae)과]
0144,양 및 염소 사육업,01291,말 및 양 사육업,010410,면양
0144,양 및 염소 사육업,01291,말 및 양 사육업,010420,산양
0149,기타 축산업,01299,그 외 기타 축산업,010619,기타
0170,"수렵, 덫치기, 관련 서비스업",,,,
0142,말과 동물 사육업,01291,말 및 양 사육업,010121,번식용
,,,,010129,기타
0142,말과 동물 사육업,01291,말 및 양 사육업,010130,당나귀
,,,,010190,기타
0145,돼지과 동물 사육업,01220,양돈업,010310,번식용
,,,,010391,중량이 50킬로그램 미만인 것
,,,,010392,중량이 50킬로그램 이상인 것
0146,가금류 사육업,01231,양계업,010511,닭[갈루스 도메스티쿠스(Gallus domesticus)종으로 한정한다]
,,,,010594,닭[갈루스 도메스티쿠스(Gallus domesticus)종으로 한정한다]
0146,가금류 사육업,01239,기타 가금류 및 조류 사육업,010512,칠면조
,,,,010599,기타
0146,가금류 사육업,01239,기타 가금류 및 조류 사육업,010514,거위
0146,가금류 사육업,01239,기타 가금류 및 조류 사육업,010513,오리
0170,"수렵, 덫치기, 관련 서비스업",,,010599,기타
0146,가금류 사육업,01239,기타 가금류 및 조류 사육업,010515,기니아새
0149,기타 축산업,01299,그 외 기타 축산업,010614,토끼
0149,기타 축산업,01299,그 외 기타 축산업,010611,영장류
0170,"수렵, 덫치기, 관련 서비스업",,,010612,"고래ㆍ돌고래류(고래목의 포유동물), 바다소(바다소목의 포유동물), 물개ㆍ바다사자ㆍ바다코끼리(기각아목의 포유동물)"
,,,,010619,기타
0149,기타 축산업,01239,기타 가금류 및 조류 사육업,010633,타조와 에뮤(emus)[드로마이어스 노배홀란디애(Dromaius novaehollandiae)]
0149,기타 축산업,01239,기타 가금류 및 조류 사육업,010631,맹금류
0170,"수렵, 덫치기, 관련 서비스업",,,010632,앵무류[패럿류(parrots)ㆍ패러키트류(parakeets)ㆍ금강앵무류ㆍ유황앵무류를 포함한다]
,,,,010639,기타
0149,기타 축산업,01299,그 외 기타 축산업,010620,파충류(뱀과 거북을 포함한다)
0149,기타 축산업,01299,그 외 기타 축산업,010641,벌
0149,기타 축산업,01299,그 외 기타 축산업,010649,기타
0170,"수렵, 덫치기, 관련 서비스업",,,010690,기타
0141,소 및 버팔로 사육업,01211,젖소 사육업,040120,지방분이 전 중량의 100분의 1 초과 100분의 6 이하인 것
,,,,040140,지방분이 전 중량의 100분의 6 초과 100분의 10 이하인 것
,,,,040150,지방분이 전 중량의 100분의 10을 초과하는 것
0144,양 및 염소 사육업,01291,말 및 양 사육업,040120,지방분이 전 중량의 100분의 1 초과 100분의 6 이하인 것
,,01299,그 외 기타 축산업,040140,지방분이 전 중량의 100분의 6 초과 100분의 10 이하인 것
0141,소 및 버팔로 사육업,01299,그 외 기타 축산업,040120,지방분이 전 중량의 100분의 1 초과 100분의 6 이하인 것
0142,말과 동물 사육업,,,040140,지방분이 전 중량의 100분의 6 초과 100분의 10 이하인 것
0143,낙타과 동물 사육업,,,040150,지방분이 전 중량의 100분의 10을 초과하는 것
0149,기타 축산업,,,,
0146,가금류 사육업,01231,양계업,040711,닭[갈루스 도메스티쿠스(Gallus domesticus)종으로 한정한다]의 것
0146,가금류 사육업,01231,양계업,040721,닭[갈루스 도메스티쿠스(Gallus domesticus)종으로 한정한다]의 것
0146,가금류 사육업,01231,양계업,040719,기타
0146,가금류 사육업,01239,기타 가금류 및 조류 사육업,040729,기타
0141,소 및 버팔로 사육업,01211,젖소 사육업,051110,소의 정액
0144,양 및 염소 사육업,01212,육우 사육업,,
0145,돼지과 동물 사육업,01220,양돈업,051199,기타
0149,기타 축산업,01291,말 및 양 사육업,,
,,01299,그 외 기타 축산업,,
0141,소 및 버팔로 사육업,01299,그 외 기타 축산업,051199,기타
0142,말과 동물 사육업,,,,
0149,기타 축산업,01299,그 외 기타 축산업,040900,천연꿀
,,01299,그 외 기타 축산업,050790,기타
0149,기타 축산업,01299,그 외 기타 축산업,030760,달팽이(바다달팽이는 제외한다)
,,,,160558,달팽이(바다달팽이는 제외한다)
0149,기타 축산업,01299,그 외 기타 축산업,041000,따로 분류되지 않은 식용인 동물성 생산품
0144,양 및 염소 사육업,01291,말 및 양 사육업,510111,깎은 양모
0144,양 및 염소 사육업,01291,말 및 양 사육업,510119,기타
,,,,510220,동물의 거친 털
0141,소 및 버팔로 사육업,01291,말 및 양 사육업,510211,캐시미어 산양의 것
0143,낙타과 동물 사육업,01299,그 외 기타 축산업,510219,기타
0144,양 및 염소 사육업,01500,수렵 및 관련 서비스업,,
0149,기타 축산업,01299,그 외 기타 축산업,500100,누에고치(생사를 뽑는 데에 적합한 것으로 한정한다)
1010,"도축, 육류 가공 및 저장 처리업",10111,육류 도축업(가금류 제외),410120,"스플릿(split)하지 않은 전신 원피(단순 건조시켰을 때의 중량이 8킬로그램 이하, 염처리 후 건조시켰을 때의 중량이 10킬로그램 이하, 생 것ㆍ습식염장이나 그 밖의 방법으로 보존처리하였을 때의 중량이 16킬로그램 이하인 것으로 한정한다)"
